epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/out_line,val/AP/parking_lot,val/AP/parking_space,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
4,1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38514941930770874,0.7887126207351685,0.7910557389259338,0.8332393169403076,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,4.95049524307251,0.9075108766555786,0.6496450304985046,0.8432750105857849,0.8207921981811523,0.5656780004501343,8.567750930786133,0.0203174389898777,0.020346086472272873,0.020608900114893913,0.03990379348397255,0.5969797968864441,0.8211461305618286,0.6157290935516357,0.7110190987586975,0.1751549243927002,0.16394242644309998,0.17680883407592773,0.23491737246513367,0.041329629719257355,0.0382334440946579,0.04026089608669281,0.0463533028960228,0.1290356069803238,0.13305827975273132,0.13071361184120178,0.20408529043197632,0.9082498550415039,0.6549726128578186,0.7043297290802002,0.8468345999717712,0.8281545639038086,0.8384254574775696,0.8232710361480713,0.5687139630317688
4,1134,2598.755859375,2598.734619140625,2598.758544921875,2598.758544921875,13.41826343536377,7.488734245300293,0.01761670969426632,0.018364708870649338,0.019280890002846718,0.03479491546750069,0.44407132267951965,0.8491936326026917,0.5303784608840942,0.5348668098449707,0.12149694561958313,0.11844590306282043,0.12864118814468384,0.1745472252368927,0.023425860330462456,0.021826958283782005,0.023619376122951508,0.03212697058916092,0.13868513703346252,0.136775940656662,0.14001744985580444,0.20226003229618073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,5.762041837442666e-06,5.762041837442666e-06,1.862617011738621e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3802218644705135e-06,5.3802218644705135e-06,1.7391913331721298e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,4.996155439584982e-06,4.996155439584982e-06,1.6150393378211447e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,4.612112206814345e-06,4.612112206814345e-06,1.4908948742231587e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,4.230360445944825e-06,4.230360445944825e-06,1.367491080372929e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3853858709335327,0.7944421768188477,0.7796523571014404,0.8339783549308777,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,4.95049524307251,0.9084986448287964,0.6574322581291199,0.8471431136131287,0.8177082538604736,0.567382276058197,8.667814254760742,0.020532334223389626,0.020982302725315094,0.02090136520564556,0.0393514521420002,0.6050248742103577,0.8126375675201416,0.6216427683830261,0.7051355838775635,0.1740497350692749,0.1720726490020752,0.17873354256153107,0.23917068541049957,0.042001135647296906,0.039283279329538345,0.04112616926431656,0.04518691077828407,0.13012823462486267,0.144219309091568,0.13222789764404297,0.20312422513961792,0.9183029532432556,0.6531601548194885,0.6945401430130005,0.845242977142334,0.834995448589325,0.8333141207695007,0.8269135355949402,0.5692682266235352
5,1361,2598.760498046875,2598.749267578125,2598.763671875,2598.763671875,13.516111373901367,7.50836706161499,0.017487483099102974,0.0182066410779953,0.019193217158317566,0.03427386283874512,0.461448609828949,0.8550176024436951,0.5386292338371277,0.5499481558799744,0.12184800952672958,0.11949057877063751,0.1292262077331543,0.175000861287117,0.02405683510005474,0.02246973104774952,0.024113507941365242,0.03217517212033272,0.13748686015605927,0.1358606368303299,0.13855236768722534,0.19856275618076324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85315615858417e-06,3.85315615858417e-06,1.245557399442987e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4827282888727495e-06,3.4827282888727495e-06,1.1258142507131197e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,3.121265308436705e-06,3.121265308436705e-06,1.00896905053105e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,2.770903392956825e-06,2.770903392956825e-06,8.957123043273896e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39382418990135193,0.7936906218528748,0.781536340713501,0.825491189956665,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,4.95049524307251,0.9204162359237671,0.6549882292747498,0.8437933921813965,0.8247970938682556,0.5654571652412415,8.64724063873291,0.02045629732310772,0.020704645663499832,0.022045928984880447,0.03907700255513191,0.6072201728820801,0.8104685544967651,0.62567138671875,0.701613187789917,0.1730760782957077,0.16709822416305542,0.1778537780046463,0.2375805377960205,0.044710833579301834,0.037820521742105484,0.04263690114021301,0.04597362503409386,0.13521192967891693,0.14006316661834717,0.1316983550786972,0.19781099259853363,0.9142410755157471,0.6563503742218018,0.7059975266456604,0.8473770022392273,0.811930239200592,0.8395248055458069,0.8197723627090454,0.5659518837928772
6,1588,2598.76123046875,2598.74658203125,2598.764892578125,2598.764892578125,12.39735221862793,7.654032230377197,0.017361337319016457,0.018457703292369843,0.019142525270581245,0.033914800733327866,0.47316470742225647,0.8713229298591614,0.551220178604126,0.5637118816375732,0.12300071865320206,0.1216324120759964,0.1290292590856552,0.17491257190704346,0.02429565228521824,0.022893399000167847,0.024682890623807907,0.03332953155040741,0.13902293145656586,0.13801467418670654,0.14160481095314026,0.20677299797534943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43371232500067e-06,2.43371232500067e-06,7.867131301964037e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1116845800861483e-06,2.1116845800861483e-06,6.826155640737852e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8067229348162073e-06,1.8067229348162073e-06,5.840347938601553e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5206293255687342e-06,1.5206293255687342e-06,4.91553180381743e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2550940482469741e-06,1.2550940482469741e-06,4.057172020566213e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3929663300514221,0.7973933815956116,0.7795068025588989,0.8342307806015015,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,4.95049524307251,0.9085369110107422,0.6500783562660217,0.8465067744255066,0.8129527568817139,0.5634996294975281,8.569098472595215,0.020240966230630875,0.020781518891453743,0.02143576182425022,0.03923869505524635,0.6148249506950378,0.8022051453590393,0.6153888702392578,0.6959089040756226,0.1699487268924713,0.1683967113494873,0.17606613039970398,0.23609505593776703,0.03962524235248566,0.0393974743783474,0.044389013200998306,0.047490037977695465,0.11742613464593887,0.14348763227462769,0.1392621248960495,0.19517701864242554,0.9182465076446533,0.6566221714019775,0.7065736055374146,0.8506874442100525,0.8403501510620117,0.828583836555481,0.8231029510498047,0.5664849281311035
7,1815,2598.760498046875,2598.750732421875,2598.77001953125,2598.77001953125,11.984283447265625,7.563277244567871,0.01737608201801777,0.018284788355231285,0.018994858488440514,0.03362853080034256,0.4301110506057739,0.8585141897201538,0.5153370499610901,0.5288804173469543,0.12399055808782578,0.12081752717494965,0.12933337688446045,0.17550471425056458,0.02449895814061165,0.022758789360523224,0.024341227486729622,0.03326944634318352,0.1420401781797409,0.14079710841178894,0.1436072736978531,0.2066315859556198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
