epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/out_line,val/AP/parking_lot,val/AP/parking_space,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_2,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_2,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
3,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.187356797861867e-06,8.187356797861867e-06,2.6466156555216003e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.882035788497888e-06,7.882035788497888e-06,2.5479187115706736e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.559685855085263e-06,7.559685855085263e-06,2.4437170509372663e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40109729766845703,0.8418547511100769,0.7867880463600159,0.8485690951347351,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,4.95049524307251,0.9246956706047058,0.6774925589561462,0.8546883463859558,0.8331922888755798,0.5803093314170837,10.68652057647705,0.019134964793920517,0.021589994430541992,0.022968849167227745,0.0212333295494318,0.041850801557302475,0.5766441226005554,0.8492104411125183,0.6361549496650696,0.6117267608642578,0.71356201171875,0.1682676374912262,0.16869159042835236,0.1791430413722992,0.17556345462799072,0.2517702579498291,0.04070371389389038,0.04152549058198929,0.041064612567424774,0.04366238787770271,0.04759674891829491,0.12803684175014496,0.14576992392539978,0.13741253316402435,0.1291380375623703,0.20078222453594208,0.9257251024246216,0.676580011844635,0.7262817025184631,0.8551149368286133,0.8554012775421143,0.842092752456665,0.8346372246742249,0.5816587805747986
3,907,2598.7666015625,2598.744873046875,2598.7666015625,2598.7587890625,2598.7666015625,12.905369758605957,9.425005912780762,0.016920287162065506,0.01934243179857731,0.020644661039114,0.018535636365413666,0.03775985166430473,0.4339936077594757,0.8637149930000305,0.556710958480835,0.4726253151893616,0.562720775604248,0.12194589525461197,0.1248215064406395,0.1365216225385666,0.12833835184574127,0.18738776445388794,0.025018863379955292,0.023234469816088676,0.0253318902105093,0.025123989209532738,0.0341147854924202,0.14185990393161774,0.1429520696401596,0.1447918713092804,0.14359937608242035,0.20821093022823334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.222211479529506e-06,7.222211479529506e-06,2.334626287847641e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.871607183711603e-06,6.871607183711603e-06,2.2212911687802261e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.509943887067493e-06,6.509943887067493e-06,2.1043811671006551e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.139358902146341e-06,6.139358902146341e-06,1.984587214565181e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40506234765052795,0.849256157875061,0.7932760715484619,0.8445708155632019,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,4.95049524307251,0.9319325089454651,0.68194979429245,0.8567161560058594,0.8347252011299133,0.5832794904708862,10.540024757385254,0.019431672990322113,0.02094549871981144,0.022864604368805885,0.020442480221390724,0.04099436476826668,0.5845994353294373,0.8386820554733276,0.6281864643096924,0.6006703972816467,0.7172865271568298,0.1674679070711136,0.17017103731632233,0.1801300048828125,0.17377223074436188,0.2409697026014328,0.04247909411787987,0.03988172858953476,0.043332166969776154,0.042036741971969604,0.04413546249270439,0.134574756026268,0.13943323493003845,0.13080231845378876,0.12876345217227936,0.19099822640419006,0.9327108263969421,0.6825315356254578,0.7326096296310425,0.8546366095542908,0.8367661237716675,0.8528692722320557,0.8367947340011597,0.5841270089149475
4,1134,2598.752197265625,2598.736572265625,2598.751953125,2598.744873046875,2598.752197265625,13.756142616271973,9.008846282958984,0.016413645818829536,0.01875808835029602,0.019714172929525375,0.01804872415959835,0.03497476875782013,0.4090292453765869,0.8550289273262024,0.5408573746681213,0.4465245008468628,0.5344768166542053,0.11696901172399521,0.12098374217748642,0.13006968796253204,0.1235983595252037,0.17850147187709808,0.02346680499613285,0.02235829085111618,0.02386072278022766,0.023625334724783897,0.03203080967068672,0.1347387433052063,0.13552337884902954,0.13822226226329803,0.13542968034744263,0.19937317073345184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.762041837442666e-06,5.762041837442666e-06,1.862617011738621e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3802218644705135e-06,5.3802218644705135e-06,1.7391913331721298e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.996155439584982e-06,4.996155439584982e-06,1.6150393378211447e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.612112206814345e-06,4.612112206814345e-06,1.4908948742231587e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.230360445944825e-06,4.230360445944825e-06,1.367491080372929e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40379253029823303,0.8457984924316406,0.7906362414360046,0.847601056098938,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,4.95049524307251,0.9322524070739746,0.6846433877944946,0.8530301451683044,0.8335696458816528,0.584837019443512,10.553031921386719,0.019257575273513794,0.02130558155477047,0.021340932697057724,0.02080596052110195,0.04017515107989311,0.5822004079818726,0.8297706842422485,0.6449961066246033,0.6094140410423279,0.7082253694534302,0.16821153461933136,0.17248745262622833,0.17890609800815582,0.17595306038856506,0.2395358681678772,0.039588429033756256,0.03999372199177742,0.03874872997403145,0.042272474616765976,0.04465866461396217,0.13061963021755219,0.14570926129817963,0.13016369938850403,0.13191962242126465,0.19508777558803558,0.9319120645523071,0.6800757646560669,0.7319301962852478,0.8530137538909912,0.8607687950134277,0.8359703421592712,0.837255597114563,0.5835813283920288
5,1361,2598.76708984375,2598.749755859375,2598.7666015625,2598.7626953125,2598.76708984375,13.638738632202148,9.243683815002441,0.016560429707169533,0.018702425062656403,0.01970495656132698,0.01817227713763714,0.035036344081163406,0.4732223153114319,0.873053789138794,0.5788580179214478,0.50572669506073,0.5798520445823669,0.11782997101545334,0.12014973908662796,0.13077938556671143,0.12363333255052567,0.1766582876443863,0.023922689259052277,0.02202639728784561,0.023781515657901764,0.023860014975070953,0.03237275779247284,0.13507892191410065,0.13485252857208252,0.13780151307582855,0.13606996834278107,0.20102986693382263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
